"lon" "lat" "MCS" "eq.id" "Mw" "LatEp" "LonEp" "dist"
13.967 42 10 "79" 6 42 13.97 0.247901803053059
14.413 41.851 9 "79" 6 42 13.97 40.2205431763588
13.396 42.356 8 "79" 6 42 13.97 61.6778938449054
13.992 41.756 8 "79" 6 42 13.97 27.1926321706941
11.328 43.321 7 "80" 5.17 43.321 11.328 0
10.401 43.716 6 "81" 4.63 43.716 10.401 0
11.34 44.498 7 "84" 4.63 44.5 11.33 0.823701255039828
11.249 43.777 6 "86" 4.63 43.777 11.249 0
12.934 42.893 10 "87" 6.44 42.856 13.018 7.98633157575067
13.039 42.878 10 "87" 6.44 42.856 13.018 2.98554198507833
13.094 42.793 10 "87" 6.44 42.856 13.018 9.35366843351082
13.013 42.718 9 "87" 6.44 42.856 13.018 15.3503235468744
12.917 42.819 9 "87" 6.44 42.856 13.018 9.20580297462454
13.018 42.897 9 "87" 6.44 42.856 13.018 4.55899199242705
13.088 42.93 9 "87" 6.44 42.856 13.018 10.0112672126712
13.062 42.684 9 "87" 6.44 42.856 13.018 19.4598339187228
13.068 43.135 8 "87" 6.44 42.856 13.018 31.288755080361
12.785 43.23 5 "87" 6.44 42.856 13.018 45.6946168318009
12.482 41.895 4 "87" 6.44 42.856 13.018 115.573053751613
10.994 45.438 6 "89" 4.63 45.43 11 1.00523731555975
10.564 44.81 6 "90" 4.63 44.81 10.564 0
11.249 43.777 6 "91" 4.83 43.777 11.249 0
11.249 43.777 6 "92" 4.83 43.777 11.249 0
10.421 44.988 8 "93" 5.81 44.92 11.02 47.7376879277255
11.618 44.836 8 "93" 5.81 44.92 11.02 48.0355011265729
9.274 45.584 5 "93" 5.81 44.92 11.02 155.339694003669
13.135 46.279 10 "94" 6.66 46.254 12.883 19.5695803310689
13.017 46.531 10 "94" 6.66 46.254 12.883 32.4701943878921
12.499 45.953 10 "94" 6.66 46.254 12.883 44.6844409786513
13.01 46.157 9 "94" 6.66 46.254 12.883 14.5551726800871
13.139 46.333 9 "94" 6.66 46.254 12.883 21.5413946511332
13.849 46.616 9 "94" 6.66 46.254 12.883 84.2626145448964
13.714 46.547 8 "94" 6.66 46.254 12.883 71.5676070330905
13.431 46.093 8 "94" 6.66 46.254 12.883 45.8364703970037
13.812 46.572 8 "94" 6.66 46.254 12.883 79.5148681565818
12.962 46.208 8 "94" 6.66 46.254 12.883 7.94281513473753
14.393 46.502 8 "94" 6.66 46.254 12.883 119.071911534246
13.708 46.674 8 "94" 6.66 46.254 12.883 78.5731876631679
14.363 46.242 8 "94" 6.66 46.254 12.883 113.811580396126
13.25 48.55 8 "94" 6.66 46.254 12.883 256.792469088073
14.524 46.081 8 "94" 6.66 46.254 12.883 127.823996650279
14.18 46.605 8 "94" 6.66 46.254 12.883 106.789049575041
14.025 46.592 8 "94" 6.66 46.254 12.883 95.2604110468422
13.019 46.398 8 "94" 6.66 46.254 12.883 19.1164992600801
13.731 46.187 8 "94" 6.66 46.254 12.883 65.663783788906
13.236 46.063 8 "94" 6.66 46.254 12.883 34.5002403944258
14.893 46.93 8 "94" 6.66 46.254 12.883 170.988274973943
14.235 46.309 8 "94" 6.66 46.254 12.883 104.077831370796
13.633 46.604 8 "94" 6.66 46.254 12.883 69.4163711980028
14.521 46.548 8 "94" 6.66 46.254 12.883 129.785037340996
13.37 45.768 7 "94" 6.66 46.254 12.883 65.8395296731306
12.978 46.177 7 "94" 6.66 46.254 12.883 11.2576796470139
12.335 45.438 7 "94" 6.66 46.254 12.883 100.17198098595
11.354 46.497 7 "94" 6.66 46.254 12.883 120.369456779084
12.66 45.964 7 "94" 6.66 46.254 12.883 36.5427148044267
11.124 46.064 7 "94" 6.66 46.254 12.883 137.112990444353
11.876 45.407 5 "94" 6.66 46.254 12.883 122.298900026266
11.34 44.498 5 "94" 6.66 46.254 12.883 229.447858111069
10.024 45.136 5 "94" 6.66 46.254 12.883 254.458504073803
14.1 46.733 5 "94" 6.66 46.254 12.883 107.311147088339
11.618 44.836 5 "94" 6.66 46.254 12.883 185.912957575527
14.237 46.753 5 "94" 6.66 46.254 12.883 117.547708302458
9.501 45.314 5 "94" 6.66 46.254 12.883 282.284527541693
10.775 45.152 5 "94" 6.66 46.254 12.883 204.469197533146
9.19 45.464 5 "94" 6.66 46.254 12.883 299.136410137083
13.993 46.667 5 "94" 6.66 46.254 12.883 96.6312168858915
9.693 45.052 5 "94" 6.66 46.254 12.883 281.643276322798
10.401 43.716 5 "94" 6.66 46.254 12.883 343.103718767659
10.994 45.438 5 "94" 6.66 46.254 12.883 172.159518641303
11.549 45.549 5 "94" 6.66 46.254 12.883 129.614472142301
9.692 45.476 4 "94" 6.66 46.254 12.883 261.76539508272
12.198 44.417 4 "94" 6.66 46.254 12.883 211.163578170737
13.8 41.619 10 "95" 6.62 41.48 14.07 27.2712259557917
14.56 41.285 10 "95" 6.62 41.48 14.07 46.2754241409406
13.867 41.54 10 "95" 6.62 41.48 14.07 18.1722587183911
14.044 41.485 10 "95" 6.62 41.48 14.07 2.23608756482687
14.231 41.594 10 "95" 6.62 41.48 14.07 18.4460793458196
13.814 41.49 9 "95" 6.62 41.48 14.07 21.3536000468805
13.743 41.689 9 "95" 6.62 41.48 14.07 35.7737318002517
14.469 41.484 9 "95" 6.62 41.48 14.07 33.2409309365516
13.974 41.59 9 "95" 6.62 41.48 14.07 14.6101755225346
13.83 41.488 9 "95" 6.62 41.48 14.07 20.0119300585847
14.088 41.651 9 "95" 6.62 41.48 14.07 19.0732118962783
13.61 41.647 9 "95" 6.62 41.48 14.07 42.5383336287562
13.613 41.718 9 "95" 6.62 41.48 14.07 46.3077885955945
13.928 42.047 9 "95" 6.62 41.48 14.07 64.1381051471004
13.419 41.692 9 "95" 6.62 41.48 14.07 59.0522692364487
